idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,14:55:13,0.0,1,4,0,0,0.016,1701,1557,446.1,151.9,F63,13.2,T73,32.2
2,15:27:45,0.0,1,14,18,0,0.259,2166,2249,417.2,126.9,T63,19.4,V62,28.8
3,15:28:27,0.0,1,33,49,0,0.128,2124,1734,436.4,131.1,F63,26.6,V62,27.6
4,15:28:29,0.0,1,17,13,0,0.112,3703,1227,460.6,38.2,T71,18.3,F61,28.8
5,15:28:31,0.0,1,51,84,0,0.175,3795,1506,442.4,41.9,F61,11.2,T71,33.9
6,15:28:33,18.0,10,55,88,0,0.164,3816,1582,437.9,43.4,F61,7.3,T71,38.4
7,15:28:53,0.0,1,53,87,0,0.218,2693,1400,452.5,102.8,V62,18.3,T72,31.6
8,15:28:55,20.0,11,54,86,0,0.259,2669,1679,437.3,106.1,V62,4.0,T73,41.0
9,15:29:17,0.0,1,53,87,0,0.18,1321,1133,471.7,180.1,T74,4.7,F63,43.8
10,15:29:19,0.0,1,54,87,0,0.057,1277,1623,443.6,168.7,F63,14.5,T74,31.0
11,15:29:21,10.0,6,53,85,0,0.226,1295,1696,440.1,166.0,F63,10.2,T74,35.4
12,15:29:33,0.0,1,53,0,0,0.016,354,1324,460.1,219.2,T75,21.9,V64,27.0
13,15:29:35,42.1,22,53,85,0,0.154,327,1614,445.1,205.3,V64,12.6,T74,32.5
14,15:30:19,0.0,1,53,85,0,0.018,393,1613,445.1,203.0,V64,13.9,T74,31.1
15,15:30:21,0.0,1,53,87,0,0.169,453,1107,473.5,225.6,T75,13.4,T74,41.1
16,15:30:23,0.0,1,15,6,0,0.216,2564,1221,464.2,109.1,T73,22.3,V62,30.5
17,15:30:25,0.0,1,20,13,0,0.12,3979,941,481.1,8.5,T71,17.8,F61,62.3
18,15:30:27,16.0,9,53,87,0,0.135,4105,1405,447.3,18.8,T71,23.2,F61,33.4
19,15:30:47,14.0,8,54,88,0,0.22,3240,1531,443.2,74.4,F61,26.4,T72,27.1
20,15:31:03,0.0,1,51,84,0,0.238,2028,1058,476.3,141.4,T73,12.4,T74,43.6
21,15:31:05,20.1,11,55,88,0,0.273,1908,1583,444.3,142.1,F63,18.5,T73,28.3
22,15:31:27,0.0,1,44,58,0,0.195,1468,1147,470.7,171.9,T74,12.7,F63,39.2
23,15:31:29,16.0,9,55,88,0,0.198,723,1597,445.6,191.6,V64,23.1,T74,25.6
24,15:31:47,0.0,1,52,86,0,0.21,658,1530,448.9,196.9,V64,20.8,T74,24.6
25,15:31:49,18.0,10,54,88,0,0.142,251,1572,447.1,210.2,V64,13.0,T74,34.5
26,15:32:09,0.0,1,27,33,0,0.125,216,1632,444.3,208.2,V64,10.7,T74,35.0
27,15:41:44,0.0,1,52,84,0,0.127,216,1204,467.2,231.6,T75,7.6,V64,38.6
28,15:41:46,0.0,1,55,88,0,0.027,296,1071,475.8,235.1,T75,6.6,V64,47.8
29,15:41:48,0.0,1,52,82,0,0.09,388,923,486.1,238.1,T75,15.9,T74,55.8
30,15:41:50,0.0,1,52,85,0,0.173,251,1125,472.2,234.3,T75,4.7,V64,44.3
31,15:41:52,0.0,1,17,15,0,0.149,68,1346,458.8,229.9,T75,14.3,V64,30.7
32,15:41:56,0.0,1,45,72,0,0.159,143,1283,462.4,230.4,T75,11.3,V64,33.9
33,15:41:58,0.0,1,54,88,0,0.103,360,941,484.8,238.7,T75,14.6,T74,56.0
34,15:42:00,0.0,1,54,88,0,0.126,666,968,483.1,221.2,T75,21.7,T74,38.8
35,15:42:02,0.0,1,54,88,0,0.155,657,1114,473.1,215.1,T75,23.6,T74,30.7
36,15:42:04,0.0,1,54,88,0,0.15,663,1193,468.0,211.4,T74,26.9,T75,27.3
37,15:42:06,2.0,2,55,88,0,0.107,696,1054,477.1,215.8,T75,23.8,T74,31.9
38,15:42:10,0.0,1,54,88,0,0.144,341,1378,457.1,217.0,V64,23.5,T75,25.3
39,15:42:12,0.0,1,54,88,0,0.141,339,1456,452.9,213.0,V64,18.7,T75,30.9
40,15:42:14,0.0,1,55,88,0,0.028,411,1527,449.2,206.6,V64,15.8,T74,30.4
41,15:42:16,2.0,2,54,88,0,0.153,330,1463,452.5,213.0,V64,18.4,T75,31.1
42,15:42:20,0.0,1,26,33,0,0.024,124,1571,447.2,214.8,V64,13.4,T75,33.1
43,15:42:22,5.1,4,49,79,0,0.174,100,1613,445.3,213.2,V64,11.2,T75,35.6
44,15:42:29,0.0,1,14,15,0,0.114,72,1761,438.9,205.6,V64,7.6,T74,37.7
45,15:42:31,0.0,1,41,64,0,0.165,146,1435,454.0,221.6,V64,22.2,T75,23.5
46,15:42:33,0.0,1,53,86,0,0.147,1607,1120,472.4,164.8,T74,19.9,T73,34.3
47,15:42:37,0.0,1,53,86,0,0.154,2605,922,485.7,105.3,T73,29.7,T72,32.6
48,15:42:39,0.0,1,54,88,0,0.131,1838,899,488.3,155.0,T73,30.4,T74,34.7
49,15:42:43,0.0,1,54,88,0,0.197,1888,935,485.5,151.4,T73,25.8,T74,36.5
50,15:42:45,0.0,1,53,86,0,0.169,2442,938,484.7,116.1,T73,20.5,T72,42.1
51,15:42:49,0.0,1,21,20,0,0.074,2888,987,480.2,86.9,T72,14.4,T73,44.9
52,15:42:51,2.0,2,52,85,0,0.17,2746,1015,478.4,96.6,T72,21.6,T73,35.0
53,15:42:57,0.0,1,54,88,0,0.236,2292,1380,454.7,124.5,T73,16.6,V62,29.3
54,15:42:59,4.0,3,55,88,0,0.236,2312,1554,444.8,123.1,V62,22.2,T73,26.5
55,15:43:05,0.0,1,45,61,0,0.065,1582,888,489.2,171.1,T74,23.3,T73,44.8
56,15:43:07,0.0,1,53,86,0,0.081,1604,1048,477.4,166.5,T74,19.5,T73,36.6
57,15:43:09,2.0,2,54,88,0,0.162,1717,1142,470.8,158.3,T74,26.3,T73,27.7
58,15:43:15,0.0,1,24,17,0,0.025,3808,872,487.2,18.8,T71,17.4,T72,60.3
59,15:43:17,0.0,1,24,20,0,0.087,4237,953,479.3,-10.5,T71,34.3,F61,75.1
60,15:43:19,0.0,1,54,88,0,0.139,4121,883,485.4,-4.7,T71,31.2,F61,74.6
61,15:43:21,0.0,1,54,88,0,0.04,3956,738,498.3,2.4,T71,34.6,T72,79.3
62,15:43:25,0.0,1,54,88,0,0.128,4012,812,491.7,0.9,T71,30.5,F61,75.3
63,15:43:27,0.0,1,48,70,0,0.133,4303,976,477.2,-14.4,T71,37.7,F61,77.1
64,15:43:29,0.0,1,50,74,0,0.112,4310,1325,451.6,1.7,T71,28.0,F61,51.0
65,15:43:31,0.0,1,48,73,0,0.093,4240,1381,448.2,9.0,T71,25.9,F61,42.9
66,15:43:33,0.3,2,49,73,0,0.068,4199,1422,445.8,13.5,T71,26.0,F61,37.9
67,15:43:35,2.0,2,48,72,0,0.115,4272,1356,449.7,5.7,T71,26.5,F61,46.5
68,15:43:39,6.0,4,53,87,0,0.138,3939,1209,461.0,21.7,T71,9.2,F61,38.7
69,15:43:47,0.0,1,55,0,0,0.057,3941,1111,468.1,17.8,T71,5.3,F61,46.5
70,15:43:49,0.0,1,47,0,0,0.031,3705,857,488.7,26.1,T71,18.8,T72,53.8
71,15:43:51,0.0,1,51,82,0,0.066,3782,863,488.0,20.5,T71,17.9,T72,58.9
72,15:43:53,2.0,2,53,87,0,0.113,3831,983,478.2,21.0,T71,8.1,F61,52.5
73,15:43:57,0.0,1,48,70,0,0.031,4039,878,486.0,1.4,T71,26.5,F61,70.8
74,15:44:01,0.0,1,30,43,0,0.146,4396,1840,421.6,22.1,T61,23.4,F61,30.3
75,15:44:03,0.0,1,54,88,0,0.098,4213,1460,443.3,14.4,T71,28.1,F61,36.4
76,15:44:07,0.0,1,53,86,0,0.125,4169,1456,443.8,16.9,T71,27.0,F61,34.0
77,15:44:13,6.0,4,50,78,0,0.159,4407,1950,416.5,27.1,T61,18.8,F61,28.6
78,15:44:21,8.0,5,52,84,0,0.132,3996,1968,418.1,48.8,F61,16.2,T61,32.8
79,15:44:31,0.0,1,53,86,0,0.031,3805,1506,442.4,41.3,F61,11.7,T71,33.5
80,15:44:33,0.0,1,53,86,0,0.14,3862,1625,435.4,42.3,F61,7.4,T71,40.0
81,15:44:35,0.0,1,53,87,0,0.17,3850,1715,430.6,46.3,F61,4.8,T61,40.2
82,15:44:37,0.0,1,55,0,0,0.021,3795,1560,439.3,43.8,F61,7.7,T71,37.5
83,15:44:39,0.0,1,11,5,0,0.019,3729,1447,446.2,43.8,F61,13.3,T71,32.0
84,15:44:43,2.0,2,54,88,0,0.206,1374,1667,441.3,163.6,F63,9.3,T74,35.7
85,15:44:47,0.0,1,54,88,0,0.121,1459,1458,451.8,165.0,F63,19.1,T74,26.9
86,15:44:49,0.0,1,54,88,0,0.112,1418,1407,454.7,168.1,T74,22.6,F63,23.0
87,15:44:51,0.0,1,54,88,0,0.168,1142,1830,434.6,167.8,F63,10.2,T74,39.3
88,15:44:53,0.0,1,17,0,0,0.013,787,1836,435.0,179.5,F63,21.9,V64,32.1
89,15:44:57,0.0,1,54,88,0,0.174,1047,1884,432.7,169.3,F63,11.8,T64,37.7
90,15:44:59,0.0,1,54,88,0,0.122,1399,1694,440.0,161.9,F63,7.2,T74,37.8
91,15:45:01,0.0,1,55,88,0,0.074,1588,1956,428.7,149.2,F63,10.1,T63,35.7
92,15:45:03,2.0,2,54,88,0,0.156,1469,2012,427.0,152.0,F63,9.1,T63,35.9
93,15:45:07,0.0,1,54,88,0,0.135,1588,1938,429.3,149.5,F63,9.5,T63,36.4
94,15:45:09,2.0,2,40,63,0,0.198,886,2255,421.6,160.9,F63,13.1,T64,33.3
95,15:45:13,2.0,2,44,69,0,0.245,997,2165,423.6,161.4,F63,11.3,T64,34.4
96,15:45:21,2.0,2,54,88,0,0.129,593,2027,428.6,177.3,F63,20.5,T64,31.3
