idx,colour,area,upright_x,upright_y,stored_x,stored_y,station,dist_in
0,red,12475,4450.5,1885.0,274.0,4450.5,T43,6.4
1,red,9863,3462.1,1409.0,750.0,3462.1,,
2,yellow,8391,5044.7,1310.0,849.0,5044.7,,
3,lime,4156,5723.9,1641.0,518.0,5723.9,,
4,yellow,3846,6436.3,1947.0,212.0,6436.3,,
5,yellow,3823,2635.9,1830.0,329.0,2635.9,,
6,red,3614,2398.5,1371.0,788.0,2398.5,T62,13.4
7,yellow,3128,5985.1,1206.0,953.0,5985.1,,
8,blue,2831,6972.7,2081.0,78.0,6972.7,,
9,lime,2804,5377.3,847.0,1312.0,5377.3,,
10,blue,2601,2196.5,1037.0,1122.0,2196.5,,
11,yellow,2589,2915.3,971.0,1188.0,2915.3,,
12,yellow,2490,2685.9,1759.0,400.0,2685.9,,
13,red,2427,3578.0,537.0,1622.0,3578.0,,
14,blue,2329,6102.4,870.0,1289.0,6102.4,,
15,yellow,2232,4768.3,459.0,1700.0,4768.3,,
16,lime,1969,5761.8,1665.0,494.0,5761.8,,
17,yellow,1947,5667.5,611.0,1548.0,5667.5,,
18,red,1714,2125.6,2159.0,0.0,2125.6,T64,2.8
19,orange,1693,6910.4,1363.0,796.0,6910.4,,
20,orange,1453,6545.9,1133.0,1026.0,6545.9,,
21,orange,1443,6561.1,883.0,1276.0,6561.1,T12,16.4
22,lime,1377,5142.6,329.0,1830.0,5142.6,T31,21.5
23,blue,1320,2413.6,530.0,1629.0,2413.6,,
24,red,1217,2078.5,785.0,1374.0,2078.5,F61,8.6
25,blue,1207,5806.8,424.0,1735.0,5806.8,T21,15.4
26,orange,1097,6955.9,1673.0,486.0,6955.9,,
27,orange,814,6213.2,663.0,1496.0,6213.2,V11,2.7
28,orange,736,6255.8,511.0,1648.0,6255.8,,
29,red,663,1802.9,1315.0,844.0,1802.9,,
30,yellow,584,3123.6,375.0,1784.0,3123.6,,
31,lime,542,5789.7,1624.0,535.0,5789.7,V22,1.7
32,yellow,491,2980.0,923.0,1236.0,2980.0,,
33,blue,454,6965.9,2013.0,146.0,6965.9,V13,2.3
34,lime,361,1740.0,1087.0,1072.0,1740.0,T72,10.0
35,yellow,240,2947.1,899.0,1260.0,2947.1,V51,6.2
36,yellow,225,6413.4,1866.0,293.0,6413.4,T23,3.9
37,red,210,2640.8,643.0,1516.0,2640.8,T61,7.8
38,yellow,207,2351.8,1704.0,455.0,2351.8,T63,5.5
39,lime,150,5184.9,305.0,1854.0,5184.9,,
