cam,clock,chroma,mode,sat_pct,mean_y
CH01,13:54:36,0.0,IR,0.53,102.4
CH01,13:56:36,0.0,IR,0.23,101.7
CH01,13:58:36,0.0,IR,0.7,101.2
CH01,14:00:01,13.11,color,5.64,131.1
CH01,14:02:01,13.76,color,5.06,119.2
CH01,14:04:01,14.13,color,5.55,130.6
CH01,14:06:01,14.86,color,5.76,133.8
CH01,14:08:01,14.29,color,4.67,132.7
CH01,14:10:01,13.34,color,5.0,132.1
CH01,14:12:01,13.55,color,5.73,118.4
CH01,14:14:01,13.72,color,4.75,119.0
CH01,14:16:01,13.53,color,4.08,117.0
CH01,14:18:01,13.62,color,3.64,118.9
CH01,14:20:01,14.01,color,5.5,129.9
CH01,14:22:01,13.03,color,4.22,129.2
CH01,14:24:01,13.58,color,4.0,117.9
CH01,14:26:01,13.18,color,4.29,119.2
CH01,14:28:01,12.83,color,4.4,119.1
CH01,14:30:01,13.04,color,4.29,118.2
CH01,14:32:01,13.04,color,5.32,117.8
CH01,14:34:01,13.06,color,4.63,117.9
CH01,14:36:01,13.42,color,4.92,129.7
CH01,14:38:01,13.41,color,5.13,130.8
CH01,14:40:01,13.53,color,4.91,131.9
CH01,14:42:01,13.7,color,5.16,126.3
CH01,14:44:01,13.5,color,5.12,129.7
CH01,14:46:01,13.5,color,5.3,131.8
CH01,14:48:01,13.15,color,5.53,134.0
CH01,14:50:01,12.8,color,5.04,135.3
CH01,14:52:01,13.19,color,5.87,129.6
CH01,14:54:01,13.21,color,5.0,126.2
CH01,14:56:01,13.72,color,3.26,120.0
CH01,14:58:01,13.26,color,5.43,131.0
CH01,15:00:01,13.42,color,5.48,131.3
CH01,15:02:01,13.43,color,5.08,131.8
CH01,15:04:01,13.52,color,5.73,132.4
CH01,15:06:01,12.78,color,5.52,119.7
CH01,15:08:01,12.72,color,5.07,125.7
CH01,15:10:01,13.34,color,5.44,131.6
CH01,15:12:01,13.1,color,5.63,119.9
CH01,15:14:01,12.93,color,5.78,118.5
CH01,15:16:01,12.27,color,4.66,116.9
CH01,15:18:01,12.63,color,5.16,117.4
CH01,15:20:01,12.83,color,4.65,117.0
CH01,15:22:01,12.75,color,4.84,129.3
CH01,15:24:01,13.54,color,4.53,122.6
CH01,15:26:01,13.56,color,4.58,122.2
CH01,15:28:01,13.24,color,4.97,129.2
CH01,15:30:01,13.41,color,5.34,131.3
CH01,15:32:01,13.29,color,5.82,132.0
CH01,15:34:01,13.53,color,6.34,133.7
CH01,15:36:01,13.29,color,5.64,130.4
CH01,15:38:01,12.72,color,5.24,118.8
CH01,15:40:01,12.95,color,6.43,118.9
CH01,15:42:01,13.04,color,5.67,132.7
CH01,15:44:01,13.54,color,5.8,133.5
CH01,15:46:01,13.85,color,6.69,135.2
CH01,15:48:01,13.59,color,6.42,133.6
CH02,13:54:39,0.0,IR,1.09,98.3
CH02,13:56:39,0.0,IR,1.36,102.0
CH02,13:58:39,0.0,IR,1.1,100.2
CH02,14:00:00,0.0,IR,1.77,102.3
CH02,14:02:00,13.85,color,5.5,120.5
CH02,14:04:00,13.61,color,5.51,130.6
CH02,14:06:00,14.12,color,5.7,132.0
CH02,14:08:00,13.77,color,5.06,132.0
CH02,14:10:00,12.69,color,5.44,131.8
CH02,14:12:00,14.33,color,6.19,123.6
CH02,14:14:00,14.25,color,5.59,124.2
CH02,14:16:00,13.54,color,4.49,119.4
CH02,14:18:00,13.5,color,4.1,119.6
CH02,14:20:00,13.35,color,5.37,128.7
CH02,14:22:00,12.27,color,4.6,128.4
CH02,14:24:00,12.51,color,5.11,118.6
CH02,14:26:00,13.09,color,4.6,119.1
CH02,14:28:00,12.94,color,4.84,119.1
CH02,14:30:00,13.13,color,4.7,117.2
CH02,14:32:00,13.37,color,5.99,119.6
