cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:09:25.6,150925.npz,T24,15:09:25,15:09:47,0,17,1,0,
CH01,15:09:27.5,150927.npz,T24,15:09:25,15:09:47,0,12,1,0,
CH01,15:09:57.5,150957.npz,T25,15:09:57,15:10:33,0,21,1,0,
CH01,15:09:59.6,150959.npz,T25,15:09:57,15:10:33,0,33,1,0,CH01-w14-r1
CH01,15:10:01.6,151001.npz,T25,15:09:57,15:10:33,0,42,1,0,CH01-w14-r1
CH01,15:10:03.5,151003.npz,T25,15:09:57,15:10:33,0,45,1,0,CH01-w14-r1
CH01,15:10:05.6,151005.npz,T25,15:09:57,15:10:33,0,34,1,0,CH01-w14-r1
CH01,15:10:15.6,151015.npz,T25,15:09:57,15:10:33,0,12,1,0,
CH01,15:10:17.6,151017.npz,T25,15:09:57,15:10:33,0,25,1,0,
CH01,15:10:19.6,151019.npz,T25,15:09:57,15:10:33,0,17,1,0,
CH01,15:10:21.6,151021.npz,T25,15:09:57,15:10:33,0,14,1,0,
CH01,15:10:23.6,151023.npz,T25,15:09:57,15:10:33,0,27,1,0,CH01-w14-r2
CH01,15:10:25.6,151025.npz,T25,15:09:57,15:10:33,0,30,1,0,CH01-w14-r2
CH01,15:10:27.6,151027.npz,T25,15:09:57,15:10:33,0,42,1,0,CH01-w14-r2
CH01,15:10:29.7,151029.npz,T25,15:09:57,15:10:33,0,17,1,0,
CH01,15:10:31.6,151031.npz,T25,15:09:57,15:10:33,0,26,1,0,
CH01,15:10:33.4,151033.npz,T25,15:09:57,15:10:33,1,20,1,0,
CH01,15:10:37.4,151037.npz,,,,0,36,1,0,
CH01,15:12:45.8,151245.npz,F23,15:12:45,15:13:11,0,12,1,0,
CH01,15:12:47.8,151247.npz,F23,15:12:45,15:13:11,0,16,1,0,
CH01,15:12:49.8,151249.npz,F23,15:12:45,15:13:11,0,63,1,0,
CH01,15:12:51.8,151251.npz,F23,15:12:45,15:13:11,0,64,1,0,CH01-w17-r1
CH01,15:12:53.8,151253.npz,F23,15:12:45,15:13:11,0,61,1,0,CH01-w17-r1
CH01,15:12:55.9,151255.npz,F23,15:12:45,15:13:11,0,66,1,0,CH01-w17-r1
CH01,15:12:57.8,151257.npz,F23,15:12:45,15:13:11,0,66,1,0,CH01-w17-r1
CH01,15:12:59.9,151259.npz,F23,15:12:45,15:13:11,0,74,1,0,CH01-w17-r1
CH01,15:13:01.9,151301.npz,F23,15:12:45,15:13:11,0,73,1,0,CH01-w17-r1
CH01,15:13:03.9,151303.npz,F23,15:12:45,15:13:11,0,73,1,0,CH01-w17-r1
CH01,15:13:05.9,151305.npz,F23,15:12:45,15:13:11,0,63,1,0,CH01-w17-r1
CH01,15:13:07.9,151307.npz,F23,15:12:45,15:13:11,0,80,1,0,CH01-w17-r1
CH01,15:13:09.9,151309.npz,F23,15:12:45,15:13:11,0,78,1,0,CH01-w17-r1
CH01,15:13:11.8,151311.npz,F23,15:12:45,15:13:11,1,29,1,0,CH01-w17-r1
CH01,15:13:23.8,151323.npz,V24,15:13:17,15:13:46,0,28,1,0,
CH01,15:13:48.6,151348.npz,,,,0,72,1,0,
CH01,15:15:13.9,151513.npz,T33,15:15:11,15:15:45,0,55,1,0,CH01-w21-r1
CH01,15:15:15.9,151515.npz,T33,15:15:11,15:15:45,0,48,1,0,CH01-w21-r1
CH01,15:15:17.9,151517.npz,T33,15:15:11,15:15:45,0,33,1,0,CH01-w21-r1
CH01,15:15:19.9,151519.npz,T33,15:15:11,15:15:45,0,30,1,0,
CH01,15:15:21.9,151521.npz,T33,15:15:11,15:15:45,0,50,1,0,
CH01,15:15:27.9,151527.npz,T33,15:15:11,15:15:45,0,64,1,0,CH01-w21-r2
CH01,15:15:29.9,151529.npz,T33,15:15:11,15:15:45,0,88,1,0,CH01-w21-r2
CH01,15:15:31.9,151531.npz,T33,15:15:11,15:15:45,0,88,1,0,CH01-w21-r2
