CH01 F12 15:04:38-15:05:17 had 0, tried 20 frames, saved 11 (best 87 corners) {'rect-markers': 8, 'rect-charuco': 2, 'rect-chess': 1} prior=cone 121s
CH01 F14 15:06:08-15:06:34 had 0, tried 14 frames, saved 8 (best 88 corners) {'rect-chess': 8} prior=cone 114s
CH01 F21 15:10:43-15:11:57 had 0, tried 37 frames, saved 0 (best 0 corners) {} prior=lattice 275s
CH01 F32 15:17:41-15:18:05 had 0, tried 13 frames, saved 1 (best 17 corners) {'charuco': 1} prior=lattice 126s
CH01 F41 15:22:34-15:22:58 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=lattice 89s
CH01 F61 15:28:34-15:28:50 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=cone 83s
CH01 F63 15:29:22-15:29:30 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=cone 61s
CH01 T11 15:01:03-15:01:51 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=lattice 222s
CH01 T11 15:01:03-15:01:51 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=lattice 223s
CH01 T12 15:01:59-15:02:10 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=cone 65s
CH01 T13 15:02:19-15:02:37 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=cone 106s
CH01 T14 15:02:48-15:03:17 had 0, tried 15 frames, saved 1 (best 88 corners) {'rect-chess': 1} prior=cone 184s
CH01 T14 15:02:48-15:03:17 had 1, tried 15 frames, saved 1 (best 88 corners) {'rect-chess': 1} prior=cone 182s
CH01 T15 15:03:25-15:03:57 had 0, tried 17 frames, saved 0 (best 0 corners) {} prior=cone 246s
CH01 T15 15:03:25-15:03:57 had 0, tried 17 frames, saved 0 (best 0 corners) {} prior=cone 247s
CH01 T21 15:06:42-15:07:08 had 0, tried 15 frames, saved 0 (best 0 corners) {} prior=lattice 271s
CH01 T22 15:07:14-15:08:53 had 0, tried 52 frames, saved 0 (best 0 corners) {} prior=lattice 498s
CH01 T23 15:09:05-15:09:17 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=cone 89s
CH01 T24 15:09:25-15:09:47 had 2, tried 11 frames, saved 8 (best 88 corners) {'charuco': 1, 'rect-charuco': 2, 'rect-markers': 2, 'chessboard': 2, 'rect-chess': 1} prior=cone 83s
CH01 T31 15:13:54-15:14:31 had 0, tried 20 frames, saved 0 (best 0 corners) {} prior=lattice 323s
CH01 T32 15:14:37-15:15:03 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=lattice 97s
CH01 T35 15:16:32-15:17:01 had 0, tried 16 frames, saved 16 (best 87 corners) {'rect-markers': 5, 'rect-charuco': 2, 'rect-chess': 9} prior=cone 10s
CH01 T41 15:19:22-15:19:26 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=lattice 16s
CH01 T41 15:19:38-15:20:26 had 0, tried 24 frames, saved 0 (best 0 corners) {} prior=lattice 170s
CH01 T41 15:22:36-15:22:56 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=lattice 69s
CH01 T42 15:20:32-15:20:48 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=lattice 68s
CH01 T51 15:24:31-15:25:03 had 0, tried 16 frames, saved 0 (best 0 corners) {} prior=lattice 241s
CH01 T52 15:25:09-15:25:25 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=lattice 84s
CH01 T71 15:30:34-15:30:42 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=cone 46s
CH01 T72 15:30:52-15:31:00 had 0, tried 5 frames, saved 5 (best 88 corners) {'chessboard': 1, 'rect-chess': 4} prior=cone 21s
CH01 T73 15:31:12-15:31:26 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=cone 90s
CH01 T74 15:31:32-15:31:46 had 0, tried 8 frames, saved 7 (best 88 corners) {'rect-chess': 7} prior=cone 34s
CH01 T75 15:31:52-15:32:08 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=cone 112s
CH01 V11 15:04:07-15:04:31 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=lattice 120s
CH01 V11 15:04:07-15:04:31 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=lattice 121s
CH01 V13 15:05:23-15:05:58 had 0, tried 19 frames, saved 5 (best 80 corners) {'rect-charuco': 1, 'rect-markers': 4} prior=lattice 222s
CH01 V22 15:12:01-15:12:37 had 0, tried 19 frames, saved 0 (best 0 corners) {} prior=cone 225s
CH01 V24 15:13:17-15:13:46 had 1, tried 15 frames, saved 14 (best 88 corners) {'rect-markers': 4, 'charuco': 1, 'rect-charuco': 1, 'rect-chess': 8} prior=cone 38s
CH01 V31 15:17:13-15:17:35 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=lattice 282s
CH01 V44 15:24:01-15:24:19 had 0, tried 11 frames, saved 11 (best 88 corners) {'rect-chess': 10, 'rect-markers': 1} prior=cone 5s
CH01 V51 15:27:02-15:27:16 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=lattice 60s
CH01 V62 15:28:56-15:29:16 had 0, tried 11 frames, saved 7 (best 88 corners) {'chessboard': 7} prior=cone 102s
CH01 V64 15:29:38-15:30:18 had 0, tried 21 frames, saved 0 (best 0 corners) {} prior=cone 256s
CH02 F12 15:04:38-15:05:17 had 0, tried 20 frames, saved 0 (best 0 corners) {} prior=cone 228s
CH02 F14 15:06:08-15:06:34 had 0, tried 14 frames, saved 0 (best 0 corners) {} prior=cone 135s
CH02 F21 15:10:43-15:11:57 had 0, tried 41 frames, saved 2 (best 88 corners) {'rect-chess': 1, 'rect-markers': 1} prior=cone 571s
CH02 F34 15:18:50-15:19:04 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=lattice 56s
CH02 F43 15:23:24-15:23:50 had 0, tried 14 frames, saved 0 (best 0 corners) {} prior=lattice 144s
CH02 F52 15:27:24-15:27:44 had 2, tried 10 frames, saved 10 (best 72 corners) {'rect-charuco': 2, 'charuco': 2, 'rect-markers': 6} prior=cone 8s
CH02 F54 15:28:14-15:28:24 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=cone 57s
CH02 F61 15:28:34-15:28:50 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=cone 133s
CH02 F63 15:29:22-15:29:30 had 0, tried 4 frames, saved 4 (best 83 corners) {'rect-markers': 4} prior=cone 8s
CH02 T11 15:01:03-15:01:51 had 0, tried 24 frames, saved 0 (best 0 corners) {} prior=cone 296s
CH02 T12 15:01:59-15:02:10 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=cone 54s
CH02 T13 15:02:19-15:02:37 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=cone 107s
CH02 T14 15:02:48-15:03:17 had 0, tried 15 frames, saved 0 (best 0 corners) {} prior=cone 136s
CH02 T15 15:03:25-15:03:57 had 0, tried 17 frames, saved 0 (best 0 corners) {} prior=cone 133s
CH02 T23 15:09:05-15:09:17 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=lattice 69s
CH02 T24 15:09:25-15:09:47 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=cone 96s
CH02 T25 15:09:57-15:10:33 had 0, tried 18 frames, saved 0 (best 0 corners) {} prior=lattice 126s
CH02 T34 15:15:57-15:16:26 had 0, tried 16 frames, saved 0 (best 0 corners) {} prior=lattice 140s
CH02 T35 15:16:32-15:17:01 had 0, tried 14 frames, saved 0 (best 0 corners) {} prior=lattice 154s
CH02 T41 15:19:22-15:19:26 had 2, tried 2 frames, saved 2 (best 24 corners) {'rect-charuco': 1, 'charuco': 1} prior=lattice 1s
CH02 T41 15:19:38-15:20:26 had 0, tried 24 frames, saved 21 (best 21 corners) {'charuco': 5, 'rect-charuco': 16} prior=lattice 57s
CH02 T44 15:21:35-15:21:44 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=lattice 43s
CH02 T45 15:21:54-15:22:20 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=lattice 87s
CH02 T54 15:25:59-15:26:13 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=lattice 67s
CH02 T55 15:26:21-15:26:46 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=lattice 122s
CH02 T71 15:30:34-15:30:42 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=cone 50s
CH02 T72 15:30:52-15:31:00 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=cone 50s
CH02 T73 15:31:12-15:31:26 had 0, tried 7 frames, saved 5 (best 88 corners) {'rect-chess': 3, 'chessboard': 2} prior=cone 59s
CH02 T74 15:31:32-15:31:46 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=cone 70s
CH02 T75 15:31:52-15:32:08 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=lattice 59s
CH02 V11 15:04:07-15:04:31 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=cone 154s
CH02 V13 15:05:23-15:05:58 had 0, tried 17 frames, saved 1 (best 88 corners) {'chessboard': 1} prior=cone 168s
CH02 V24 15:13:17-15:13:46 had 0, tried 15 frames, saved 0 (best 0 corners) {} prior=lattice 118s
CH02 V33 15:18:12-15:18:30 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=lattice 106s
