station,design_x_in,design_y_in,clock_start,clock_end,mapped_x_in,mapped_y_in,dist_in,CH01_corners,CH02_corners
F12,60.0,93.0,15:05:13,15:05:13,70.8,93.4,10.8,8,0
V13,60.0,147.0,15:05:25,15:05:25,62.0,163.6,13.6,6,0
V11,60.0,39.0,15:08:01,15:08:01,76.3,56.6,7.3,0,35
F14,60.0,201.0,15:09:23,15:09:23,82.1,200.3,13.8,17,0
T21,96.0,12.000000000000002,15:10:41,15:10:41,115.5,34.7,13.2,0,6
T22,96.0,66.0,15:12:40,15:12:40,119.0,90.9,16.7,0,88
T23,96.0,120.0,15:12:42,15:12:44,110.9,128.9,1.9,0,44
T24,96.0,174.0,15:12:43,15:12:47,111.3,166.9,17.7,80,0
T25,96.0,228.0,15:13:17,15:13:28,111.3,233.0,5.7,28,0
F21,132.0,39.0,15:14:36,15:14:38,144.1,42.9,7.0,0,76
V22,132.0,93.0,15:15:08,15:15:45,142.8,103.9,3.4,88,85
F23,132.0,147.0,15:15:47,15:15:47,156.3,141.5,19.0,9,0
V24,132.0,201.0,15:15:49,15:16:03,152.7,215.0,7.4,65,0
T31,168.0,12.000000000000002,15:17:07,15:17:07,192.5,25.3,10.6,0,68
T32,168.0,66.0,15:17:38,15:17:57,190.6,70.8,10.2,9,86
F32,204.0,93.0,15:18:05,15:18:05,200.6,94.8,19.7,17,0
V33,204.0,147.0,15:18:32,15:18:32,221.8,165.6,8.7,7,0
F34,204.0,201.0,15:18:34,15:19:04,211.2,223.3,13.7,71,0
T35,168.0,228.0,15:18:44,15:18:44,187.9,217.4,22.0,11,0
T41,240.0,12.000000000000002,15:19:18,15:19:18,251.2,19.7,4.2,0,21
T42,240.0,66.0,15:20:52,15:21:02,262.6,76.5,8.4,32,41
V53,348.0,147.0,15:21:16,15:21:16,341.5,162.8,21.3,15,0
T45,240.0,228.0,15:21:48,15:22:06,238.4,251.8,20.6,27,0
F43,276.0,147.0,15:22:24,15:22:24,302.4,162.3,13.1,87,0
T51,312.0,12.000000000000002,15:22:27,15:22:59,318.2,25.5,8.6,0,61
T52,312.0,66.0,15:23:01,15:23:16,320.0,79.5,6.8,65,77
T54,312.0,174.0,15:23:22,15:23:36,323.7,172.2,12.7,86,0
T55,312.0,228.0,15:24:03,15:24:03,325.1,238.9,1.2,6,0
V51,348.0,39.0,15:25:07,15:25:27,367.4,55.2,7.6,11,59
F52,348.0,93.0,15:25:29,15:25:29,367.9,99.6,6.9,87,0
T53,312.0,120.0,15:25:31,15:25:31,336.0,121.6,13.3,88,69
T63,384.0,120.0,15:25:49,15:25:49,387.8,128.8,10.5,0,67
F54,348.0,201.0,15:25:53,15:26:09,366.5,211.7,4.3,74,0
T65,384.0,228.0,15:26:15,15:26:15,398.6,244.9,6.3,24,0
T61,384.0,12.000000000000002,15:26:57,15:26:57,383.7,34.6,18.8,0,6
T62,384.0,66.0,15:27:17,15:27:44,393.7,74.5,5.0,52,44
F61,420.0,39.0,15:27:45,15:27:45,439.6,69.2,20.3,0,19
T74,456.0,174.0,15:27:46,15:27:46,462.6,190.8,9.8,33,0
T64,384.0,174.0,15:27:48,15:27:48,396.2,174.9,9.9,66,0
T75,456.0,228.0,15:29:34,15:29:34,459.6,226.3,16.2,15,0
T73,456.0,120.0,15:30:23,15:30:24,473.2,133.6,4.2,47,79
T71,456.0,12.000000000000002,15:30:45,15:30:45,453.0,29.7,18.6,0,9
T72,456.0,66.0,15:31:03,15:31:03,467.6,83.4,7.3,0,48
T12,24.000000000000004,66.0,15:35:58,15:35:58,41.0,70.7,6.6,46,0
T13,24.000000000000004,120.0,15:38:24,15:38:58,35.3,133.3,4.0,78,0
T15,24.000000000000004,228.0,15:39:48,15:40:14,41.9,233.6,6.2,88,0
