cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run,method
CH01,12:26:06.0,122606_r0001.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:26:14.2,122614_r0003.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:26:26.0,122626_r0006.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:26:34.0,122634_r0008.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:26:38.1,122638_r0009.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:26:46.0,122646_r0011.npz,T11,12:26:06,12:26:48,0,0,0,0,,located
CH01,12:27:04.0,122704_m0001.npz,T12,12:27:04,12:28:25,0,36,1,0,,manual-outline
CH01,12:27:04.0,122704_r0001.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:06.0,122706_m0002.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:06.0,122706_r0002.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r1,rect-chess
CH01,12:27:08.0,122708_r0003.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:10.0,122710_m0004.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:12.0,122712_m0005.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:12.0,122712_r0005.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:14.0,122714_r0006.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r1,rect-chess
CH01,12:27:16.0,122716_m0007.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:16.0,122716_r0007.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:18.0,122718_m0008.npz,T12,12:27:04,12:28:25,0,86,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:20.0,122720_m0009.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:20.0,122720_r0009.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:22.1,122722_m0010.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:22.1,122722_r0010.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:24.0,122724_m0011.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:24.0,122724_r0011.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:26.0,122726_m0012.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:26.0,122726_r0012.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:28.0,122728_m0013.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:28.0,122728_r0013.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:30.0,122730_r0014.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:32.0,122732_m0015.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:32.0,122732_r0015.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,rect-chess
CH01,12:27:34.0,122734_m0016.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r1,manual-rect-chess
CH01,12:27:40.0,122740_m0019.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:42.0,122742_m0020.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:43.0,122743_m0021.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:47.1,122747_r0023.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:27:49.0,122749_m0024.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:49.0,122749_r0024.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:27:51.1,122751_m0025.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:51.1,122751_r0025.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:27:53.0,122753_m0026.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:53.0,122753_r0026.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:27:55.0,122755_m0027.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:55.0,122755_r0027.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:27:57.0,122757_m0028.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:59.0,122759_m0029.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:27:59.0,122759_r0029.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:01.0,122801_m0030.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:01.0,122801_r0030.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:03.0,122803_m0031.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:03.0,122803_r0031.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:07.1,122807_m0033.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:09.1,122809_m0034.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:09.1,122809_r0034.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:11.1,122811_m0035.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:11.1,122811_r0035.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:13.1,122813_m0036.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:13.1,122813_r0036.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:28:15.1,122815_m0037.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:17.0,122817_m0038.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:19.1,122819_m0039.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:21.1,122821_m0040.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:23.1,122823_m0041.npz,T12,12:27:04,12:28:25,0,87,1,0,CH01-w2-r2,manual-rect-chess
CH01,12:28:23.1,122823_r0041.npz,T12,12:27:04,12:28:25,0,88,1,0,CH01-w2-r2,rect-chess
CH01,12:29:39.1,122939.npz,T62,12:29:39,12:29:57,0,13,1,0,,charuco
CH01,12:29:39.1,122939_m0001.npz,T62,12:29:39,12:29:57,0,29,1,0,,manual-rect-charuco
CH01,12:29:41.0,122941.npz,T62,12:29:39,12:29:57,0,43,1,0,CH01-w4-r1,charuco
CH01,12:29:41.0,122941_m0002.npz,T62,12:29:39,12:29:57,0,49,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:43.0,122943.npz,T62,12:29:39,12:29:57,0,29,1,0,CH01-w4-r1,charuco
CH01,12:29:43.0,122943_m0003.npz,T62,12:29:39,12:29:57,0,52,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:45.0,122945.npz,T62,12:29:39,12:29:57,0,39,1,0,CH01-w4-r1,charuco
CH01,12:29:45.0,122945_m0004.npz,T62,12:29:39,12:29:57,0,54,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:47.1,122947.npz,T62,12:29:39,12:29:57,0,32,1,0,CH01-w4-r1,charuco
CH01,12:29:47.1,122947_m0005.npz,T62,12:29:39,12:29:57,0,64,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:49.1,122949.npz,T62,12:29:39,12:29:57,0,38,1,0,CH01-w4-r1,charuco
CH01,12:29:49.1,122949_m0006.npz,T62,12:29:39,12:29:57,0,50,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:51.0,122951.npz,T62,12:29:39,12:29:57,0,28,1,0,CH01-w4-r1,charuco
CH01,12:29:51.0,122951_m0007.npz,T62,12:29:39,12:29:57,0,42,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:53.0,122953.npz,T62,12:29:39,12:29:57,0,21,1,0,CH01-w4-r1,charuco
CH01,12:29:53.0,122953_m0008.npz,T62,12:29:39,12:29:57,0,47,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:55.1,122955.npz,T62,12:29:39,12:29:57,0,20,1,0,CH01-w4-r1,charuco
CH01,12:29:55.1,122955_m0009.npz,T62,12:29:39,12:29:57,0,38,1,0,CH01-w4-r1,manual-rect-charuco
CH01,12:29:57.1,122957.npz,T62,12:29:39,12:29:57,1,21,1,0,CH01-w4-r1,charuco
CH01,12:29:57.1,122957_m0010.npz,T62,12:29:39,12:29:57,1,52,1,0,,manual-rect-charuco
CH01,12:30:05.0,123005_m0001.npz,T63,12:30:05,12:30:17,0,45,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:05.0,123005_r0001.npz,T63,12:30:05,12:30:17,0,41,1,0,CH01-w5-r1,rect-markers
CH01,12:30:07.0,123007_m0002.npz,T63,12:30:05,12:30:17,0,40,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:07.0,123007_r0002.npz,T63,12:30:05,12:30:17,0,40,1,0,CH01-w5-r1,rect-markers
CH01,12:30:09.0,123009_m0003.npz,T63,12:30:05,12:30:17,0,39,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:09.0,123009_r0003.npz,T63,12:30:05,12:30:17,0,39,1,0,CH01-w5-r1,rect-markers
CH01,12:30:11.1,123011_m0004.npz,T63,12:30:05,12:30:17,0,41,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:11.1,123011_r0004.npz,T63,12:30:05,12:30:17,0,41,1,0,CH01-w5-r1,rect-markers
CH01,12:30:13.0,123013_m0005.npz,T63,12:30:05,12:30:17,0,42,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:13.0,123013_r0005.npz,T63,12:30:05,12:30:17,0,42,1,0,CH01-w5-r1,rect-markers
CH01,12:30:15.1,123015_m0006.npz,T63,12:30:05,12:30:17,0,45,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:15.1,123015_r0006.npz,T63,12:30:05,12:30:17,0,45,1,0,CH01-w5-r1,rect-markers
CH01,12:30:17.0,123017_m0007.npz,T63,12:30:05,12:30:17,1,48,1,0,CH01-w5-r1,manual-rect-markers
CH01,12:30:17.0,123017_r0007.npz,T63,12:30:05,12:30:17,1,48,1,0,CH01-w5-r1,rect-markers
CH01,12:30:27.0,123027_m0001.npz,T64,12:30:27,12:30:39,0,88,1,0,CH01-w6-r1,manual-rect-chess
