CH01 F14 12:36:55-12:37:45 had 0, tried 25 frames, saved 14 (best 88 corners) {'chessboard': 13, 'charuco': 1} prior=cone 93s
CH01 T11 12:26:06-12:26:48 had 0, tried 22 frames, saved 0 (best 0 corners) {} prior=lattice 34s
CH01 T12 12:27:04-12:28:25 had 0, tried 42 frames, saved 0 (best 0 corners) {} prior=cone 155s
CH01 T61 12:29:25-12:29:36 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=lattice 8s
CH01 T61 12:41:05-12:42:24 had 1, tried 40 frames, saved 0 (best 0 corners) {} prior=lattice 48s
CH01 T63 12:30:05-12:30:17 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=lattice 44s
CH01 T64 12:30:27-12:30:39 had 0, tried 7 frames, saved 4 (best 88 corners) {'chessboard': 4} prior=cone 21s
CH01 V11 12:36:01-12:36:45 had 0, tried 23 frames, saved 0 (best 0 corners) {} prior=lattice 45s
CH02 F14 12:36:55-12:37:45 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=cone 51s
CH02 T11 12:26:06-12:26:48 had 0, tried 21 frames, saved 0 (best 0 corners) {} prior=cone 104s
CH02 T12 12:27:04-12:28:25 had 0, tried 41 frames, saved 0 (best 0 corners) {} prior=cone 207s
CH02 T23 12:37:55-12:38:25 had 0, tried 15 frames, saved 0 (best 0 corners) {} prior=lattice 81s
CH02 T35 12:39:23-12:40:09 had 0, tried 23 frames, saved 0 (best 0 corners) {} prior=lattice 106s
CH02 T61 12:29:25-12:29:36 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=cone 33s
CH02 T62 12:29:39-12:29:57 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=cone 64s
CH02 T64 12:30:27-12:30:39 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=lattice 21s
CH02 T65 12:30:45-12:35:19 had 2, tried 137 frames, saved 0 (best 0 corners) {} prior=lattice 277s
CH02 V11 12:36:01-12:36:45 had 0, tried 22 frames, saved 1 (best 88 corners) {'chessboard': 1} prior=cone 108s
CH02 V44 12:40:21-12:40:59 had 0, tried 19 frames, saved 0 (best 0 corners) {} prior=lattice 60s
CH03 T35 12:39:23-12:40:09 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 37s
CH03 T61 12:29:25-12:29:36 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH03 T61 12:41:05-12:42:24 had 0, tried 20 frames, saved 0 (best 0 corners) {} prior=full frame 60s
CH03 T62 12:29:39-12:29:57 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 16s
CH03 T63 12:30:05-12:30:17 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 T64 12:30:27-12:30:39 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 V44 12:40:21-12:40:59 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH04 F14 12:36:55-12:37:45 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=full frame 44s
CH04 T11 12:26:06-12:26:48 had 0, tried 11 frames, saved 0 (best 0 corners) {} prior=full frame 38s
CH04 T12 12:27:04-12:28:25 had 0, tried 21 frames, saved 0 (best 0 corners) {} prior=full frame 71s
CH04 T23 12:37:55-12:38:25 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH04 T35 12:39:23-12:40:09 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 41s
CH04 T61 12:41:05-12:42:24 had 1, tried 20 frames, saved 1 (best 36 corners) {'charuco': 1} prior=full frame 64s
CH04 V11 12:36:01-12:36:45 had 0, tried 11 frames, saved 0 (best 0 corners) {} prior=full frame 37s
CH04 V44 12:40:21-12:40:59 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 34s
CH06 F14 12:36:55-12:37:45 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=full frame 69s
CH06 T11 12:26:06-12:26:48 had 0, tried 11 frames, saved 0 (best 0 corners) {} prior=full frame 194s
CH06 T11 12:26:06-12:26:48 had 0, tried 11 frames, saved 0 (best 0 corners) {} prior=full frame 58s
CH06 T12 12:27:04-12:28:25 had 0, tried 21 frames, saved 0 (best 0 corners) {} prior=full frame 111s
CH06 T12 12:27:04-12:28:25 had 0, tried 21 frames, saved 0 (best 0 corners) {} prior=full frame 377s
CH06 T23 12:37:55-12:38:25 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 43s
CH06 T35 12:39:23-12:40:09 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 63s
CH06 T61 12:29:25-12:29:36 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 15s
CH06 T61 12:29:25-12:29:36 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 48s
CH06 T62 12:29:39-12:29:57 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH06 T62 12:29:39-12:29:57 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 86s
CH06 T63 12:30:05-12:30:17 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 22s
CH06 T63 12:30:05-12:30:17 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 70s
CH06 T65 12:30:45-12:35:19 had 0, tried 69 frames, saved 0 (best 0 corners) {} prior=full frame 356s
CH06 V11 12:36:01-12:36:45 had 0, tried 11 frames, saved 0 (best 0 corners) {} prior=full frame 56s
CH06 V44 12:40:21-12:40:59 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 53s
