"Group","File","Start","End","Active","DurFilenameS","DurFfprobeS","ProbeStatus","SizeMB","LastWrite","Suspect","Problem"
"108_thermal","108_thermal_2026-06-25_04-00-44_to_05-00-44.mp4","2026-06-25 04:00:44","2026-06-25 05:00:44","False","3600","",,"44.5","2026-06-25 05:00:44",,
"108_thermal","108_thermal_2026-06-25_05-00-44_to_06-00-44.mp4","2026-06-25 05:00:44","2026-06-25 06:00:44","False","3600","",,"44.7","2026-06-25 06:00:44",,
"108_thermal","108_thermal_2026-06-25_06-00-44_to_07-00-44.mp4","2026-06-25 06:00:44","2026-06-25 07:00:44","False","3600","",,"45","2026-06-25 07:00:44",,
"108_thermal","108_thermal_2026-06-25_07-00-44_to_08-00-44.mp4","2026-06-25 07:00:44","2026-06-25 08:00:44","False","3600","",,"44.7","2026-06-25 08:00:44",,
"108_thermal","108_thermal_2026-06-25_08-00-44_to_09-00-46.mp4","2026-06-25 08:00:44","2026-06-25 09:00:46","False","3602","",,"44.8","2026-06-25 09:00:46",,
"108_thermal","108_thermal_2026-06-25_09-00-46_to_10-00-46.mp4","2026-06-25 09:00:46","2026-06-25 10:00:46","False","3600","",,"45.1","2026-06-25 10:00:46",,
"108_thermal","108_thermal_2026-06-25_10-00-46_to_11-00-46.mp4","2026-06-25 10:00:46","2026-06-25 11:00:46","False","3600","",,"45","2026-06-25 11:00:46",,
"108_thermal","108_thermal_2026-06-25_11-00-46_to_12-00-46.mp4","2026-06-25 11:00:46","2026-06-25 12:00:46","False","3600","",,"45","2026-06-25 12:00:46",,
"108_thermal","108_thermal_2026-06-25_12-00-46_to_13-00-46.mp4","2026-06-25 12:00:46","2026-06-25 13:00:46","False","3600","",,"44.3","2026-06-25 13:00:46",,
"108_thermal","108_thermal_2026-06-25_13-00-46.mp4","2026-06-25 13:00:46","","True","","",,"0","2026-06-25 13:00:46",,
"108_thermal","108_thermal_2026-06-25_13-01-09.mp4","2026-06-25 13:01:09","","True","","",,"5.5","2026-06-25 13:08:33",,
"108_thermal","108_thermal_2026-06-25_13-08-57.mp4","2026-06-25 13:08:57","","True","","",,"4.8","2026-06-25 13:15:22",,
"108_thermal","108_thermal_2026-06-25_13-15-41_to_14-00-46.mp4","2026-06-25 13:15:41","2026-06-25 14:00:46","False","2705","",,"33.3","2026-06-25 14:00:46",,
"108_thermal","108_thermal_2026-06-25_14-00-46_to_15-00-46.mp4","2026-06-25 14:00:46","2026-06-25 15:00:46","False","3600","",,"44.2","2026-06-25 15:00:46",,
"108_thermal","108_thermal_2026-06-25_15-00-46_to_16-00-45.mp4","2026-06-25 15:00:46","2026-06-25 16:00:45","False","3599","",,"44.5","2026-06-25 16:00:45",,
"108_thermal","108_thermal_2026-06-25_16-00-45_to_16-04-45.mp4","2026-06-25 16:00:45","2026-06-25 16:04:45","False","240","",,"2","2026-06-25 16:04:31",,
"108_thermal","108_thermal_2026-06-25_16-04-45.mp4","2026-06-25 16:04:45","","True","","",,"32.5","2026-06-25 16:48:17",,
"108_thermal","108_thermal_2026-06-25_16-48-49.mp4","2026-06-25 16:48:49","","True","","",,"8","2026-06-25 16:59:32",,
"108_thermal","108_thermal_2026-06-25_17-00-31.mp4","2026-06-25 17:00:31","","True","","",,"2.7","2026-06-25 17:04:07",,
"108_thermal","108_thermal_2026-06-25_17-04-57.mp4","2026-06-25 17:04:57","","True","","",,"16.3","2026-06-25 17:26:54",,
