stream,filename,size_bytes,closed_name
CH01,CH01_2026-06-25_16-04-45.mp4,3480848330,NO
CH01,CH01_2026-06-25_17-00-26.mp4,225792347,NO
CH01,CH01_2026-06-27_00-00-00_to_01-00-01.mp4,4104543289,yes
CH01,CH01_2026-06-27_01-00-01_to_02-00-01.mp4,4107678738,yes
CH01,CH01_2026-06-27_02-00-01_to_03-00-00.mp4,4132252487,yes
CH01,CH01_2026-06-27_03-00-00_to_04-00-00.mp4,4134022819,yes
CH01,CH01_2026-06-27_04-00-00_to_05-00-00.mp4,4282459190,yes
CH01,CH01_2026-06-27_05-00-00_to_06-00-01.mp4,4097027625,yes
CH01,CH01_2026-06-27_06-00-01_to_07-00-01.mp4,3606092751,yes
CH01,CH01_2026-06-27_07-00-01_to_08-00-00.mp4,3518023667,yes
CH01,CH01_2026-06-27_08-00-00_to_09-00-00.mp4,3432810901,yes
CH01,CH01_2026-06-27_09-00-00_to_10-00-01.mp4,3464704624,yes
CH01,CH01_2026-06-27_10-00-01_to_11-00-01.mp4,3621153662,yes
CH01,CH01_2026-06-27_11-00-01_to_12-00-03.mp4,3774184362,yes
CH01,CH01_2026-06-27_12-00-03_to_13-00-00.mp4,3870329281,yes
CH01,CH01_2026-06-27_13-00-00_to_14-00-00.mp4,3841825656,yes
CH01,CH01_2026-06-27_14-00-00_to_15-00-01.mp4,3839482663,yes
CH01,CH01_2026-06-27_15-00-01_to_16-00-01.mp4,4000315142,yes
CH01,CH01_2026-06-27_16-00-01_to_17-00-00.mp4,4042461219,yes
CH01,CH01_2026-06-27_17-00-00_to_18-00-00.mp4,3945669336,yes
CH01,CH01_2026-06-27_18-00-00_to_19-00-00.mp4,3862249741,yes
CH01,CH01_2026-06-27_19-00-00_to_20-00-01.mp4,3688608405,yes
CH01,CH01_2026-06-27_20-00-01_to_21-00-02.mp4,3580108616,yes
CH01,CH01_2026-06-27_21-00-02_to_22-00-01.mp4,4528391620,yes
CH01,CH01_2026-06-27_22-00-01_to_23-00-00.mp4,4235455943,yes
CH01,CH01_2026-06-27_23-00-00_to_00-00-01.mp4,4263943616,yes
CH01,CH01_2026-06-28_00-00-01_to_01-00-01.mp4,4294148125,yes
CH01,CH01_2026-06-28_01-00-01.mp4,1103253771,NO
CH01,CH01_2026-06-28_01-16-16.mp4,40817463,NO
CH01,CH01_2026-06-28_01-18-20_to_02-00-00.mp4,2997381789,yes
CH01,CH01_2026-06-28_02-00-00_to_03-00-11.mp4,4247771999,yes
CH01,CH01_2026-06-28_03-00-11_to_03-05-00.mp4,1286249,yes
CH01,CH01_2026-06-28_03-05-00_to_04-00-00.mp4,3878169897,yes
CH01,CH01_2026-06-28_04-00-00_to_05-00-00.mp4,4339434214,yes
CH01,CH01_2026-06-28_05-00-00_to_06-00-05.mp4,4096149320,yes
CH01,CH01_2026-06-28_06-00-05_to_07-00-09.mp4,3661095551,yes
CH01,CH01_2026-06-28_07-00-09_to_08-00-00.mp4,3618342870,yes
CH01,CH01_2026-06-28_08-00-00_to_09-00-00.mp4,3354705613,yes
CH01,CH01_2026-06-28_09-00-00_to_10-00-01.mp4,3435646960,yes
CH01,CH01_2026-06-28_10-00-01_to_11-00-00.mp4,3789818753,yes
CH01,CH01_2026-06-28_11-00-00_to_12-00-00.mp4,4118366697,yes
CH01,CH01_2026-06-28_12-00-00_to_13-00-01.mp4,3897401777,yes
CH01,CH01_2026-06-28_13-00-01_to_14-00-01.mp4,4370701750,yes
CH01,CH01_2026-06-28_14-00-01_to_15-00-01.mp4,3624277054,yes
CH01,CH01_2026-06-28_15-00-01_to_16-00-00.mp4,4286569430,yes
CH01,CH01_2026-06-28_16-00-00_to_17-00-01.mp4,4196732966,yes
CH01,CH01_2026-06-28_17-00-01_to_18-00-01.mp4,4599669986,yes
CH01,CH01_2026-06-28_18-00-01_to_19-00-01.mp4,3984762283,yes
CH01,CH01_2026-06-28_19-00-01_to_20-00-00.mp4,3880286527,yes
CH01,CH01_2026-06-28_20-00-00_to_21-00-01.mp4,3744006564,yes
CH01,CH01_2026-06-28_21-00-01_to_22-00-00.mp4,4519977956,yes
CH01,CH01_2026-06-28_22-00-00_to_23-00-01.mp4,4113688497,yes
CH01,CH01_2026-06-28_23-00-01_to_00-00-01.mp4,4121339689,yes
CH01,CH01_2026-06-29_00-00-01_to_01-00-00.mp4,4188432952,yes
CH01,CH01_2026-06-29_01-00-00_to_02-00-00.mp4,4292648875,yes
CH01,CH01_2026-06-29_02-00-00_to_03-00-00.mp4,4253564975,yes
CH01,CH01_2026-06-29_03-00-00_to_04-00-01.mp4,4220565457,yes
CH01,CH01_2026-06-29_04-00-01_to_05-00-01.mp4,4339584406,yes
CH01,CH01_2026-06-29_05-00-01_to_06-00-01.mp4,4016980309,yes
CH01,CH01_2026-06-29_06-00-01_to_07-00-01.mp4,3675957681,yes
CH01,CH01_2026-06-29_07-00-01_to_08-00-01.mp4,3628103690,yes
CH01,CH01_2026-06-29_08-00-01_to_09-00-01.mp4,3434622594,yes
CH01,CH01_2026-06-29_09-00-01_to_10-00-05.mp4,3365475391,yes
CH01,CH01_2026-06-29_10-00-05_to_11-00-04.mp4,3609600037,yes
CH01,CH01_2026-06-29_11-00-04_to_11-49-38.mp4,2840069772,yes
CH01,CH01_2026-06-29_11-49-38_to_12-00-00.mp4,605890177,yes
CH01,CH01_2026-06-29_12-00-00_to_13-00-01.mp4,3840043720,yes
CH01,CH01_2026-06-29_13-00-01_to_13-17-16.mp4,1101302113,yes
CH01,CH01_2026-06-29_13-17-16_to_14-00-00.mp4,2551830084,yes
CH01,CH01_2026-06-29_14-00-00_to_15-00-04.mp4,3597823935,yes
CH01,CH01_2026-06-29_14-20-52_to_14-41-18.mp4,1613714775,yes
CH01,CH01_2026-06-29_14-41-18_to_14-59-59.mp4,1477447837,yes
CH01,CH01_2026-06-29_14-59-58_to_15-20-24.mp4,1614410287,yes
CH01,CH01_2026-06-29_15-00-04.mp4,36438044,NO
CH01,CH01_2026-06-29_15-20-24_to_15-35-20.mp4,1180591290,yes
CH01,CH01_2026-06-29_15-35-20_to_15-55-46.mp4,1614536286,yes
CH01,CH01_2026-06-29_15-55-46_to_15-59-59.mp4,336478322,yes
CH01,CH01_2026-06-29_15-59-58_to_16-18-44.mp4,1485347285,yes
CH01,CH01_2026-06-29_17-46-20_to_18-00-01.mp4,911638865,yes
CH01,CH01_2026-06-29_18-00-01_to_19-00-13.mp4,3569174701,yes
CH01,CH01_2026-06-29_19-00-13_to_20-00-00.mp4,3765714987,yes
CH01,CH01_2026-06-29_20-00-00_to_21-00-01.mp4,3627309383,yes
CH01,CH01_2026-06-29_21-00-01_to_22-00-00.mp4,4460042838,yes
CH01,CH01_2026-06-29_22-00-00_to_23-00-01.mp4,4323741556,yes
CH01,CH01_2026-06-29_23-00-01_to_00-00-01.mp4,4357552640,yes
CH01,CH01_2026-06-30_00-00-01_to_01-00-01.mp4,4304858863,yes
CH01,CH01_2026-06-30_01-00-01_to_02-00-01.mp4,4297951086,yes
CH01,CH01_2026-06-30_02-00-01_to_03-00-01.mp4,4288119355,yes
CH01,CH01_2026-06-30_03-00-01_to_04-00-01.mp4,4226306273,yes
CH01,CH01_2026-06-30_04-00-01_to_05-00-00.mp4,4271330290,yes
CH01,CH01_2026-06-30_05-00-00_to_06-00-01.mp4,4162467140,yes
CH01,CH01_2026-06-30_06-00-01_to_07-00-00.mp4,3690852276,yes
CH01,CH01_2026-06-30_07-00-00_to_08-00-05.mp4,3850970601,yes
CH01,CH01_2026-06-30_08-00-05_to_09-00-01.mp4,3718003848,yes
CH01,CH01_2026-06-30_09-00-01_to_09-27-34.mp4,1400111412,yes
CH01,CH01_2026-06-30_09-27-34_to_09-37-00.mp4,172490780,yes
CH01,CH01_2026-06-30_09-37-00_to_09-47-10.mp4,364904490,yes
CH01,CH01_2026-06-30_09-47-10_to_10-00-01.mp4,767425152,yes
CH01,CH01_2026-06-30_10-00-01_to_11-00-00.mp4,3668132613,yes
CH01,CH01_2026-06-30_11-00-00_to_12-00-00.mp4,4239671229,yes
CH01,CH01_2026-06-30_12-00-00_to_13-00-01.mp4,4560492614,yes
CH01,CH01_2026-06-30_13-00-01_to_14-00-00.mp4,4817669168,yes
CH01,CH01_2026-06-30_14-00-00_to_15-00-01.mp4,4229163903,yes
CH01,CH01_2026-06-30_15-00-01_to_16-00-01.mp4,4182259431,yes
CH01,CH01_2026-06-30_16-00-01_to_17-00-02.mp4,4217605069,yes
CH01,CH01_2026-06-30_17-00-02_to_18-00-01.mp4,4288389584,yes
CH01,CH01_2026-06-30_18-00-01_to_19-00-01.mp4,3664408136,yes
CH01,CH01_2026-06-30_19-00-01_to_20-00-01.mp4,3601905580,yes
CH01,CH01_2026-06-30_20-00-01_to_21-00-00.mp4,3735939986,yes
CH01,CH01_2026-06-30_21-00-00_to_22-00-01.mp4,4634437833,yes
CH01,CH01_2026-06-30_22-00-01_to_23-00-00.mp4,4585826518,yes
CH01,CH01_2026-06-30_23-00-00_to_00-00-00.mp4,4384521470,yes
CH01,CH01_2026-07-01_00-00-00_to_01-00-01.mp4,4259954802,yes
CH01,CH01_2026-07-01_01-00-01_to_02-00-01.mp4,4329832886,yes
CH01,CH01_2026-07-01_02-00-01_to_03-00-01.mp4,4186038622,yes
CH01,CH01_2026-07-01_03-00-01_to_04-00-00.mp4,4365870931,yes
CH01,CH01_2026-07-01_04-00-00_to_05-00-00.mp4,4276578387,yes
CH01,CH01_2026-07-01_05-00-00_to_06-00-01.mp4,4186923249,yes
CH01,CH01_2026-07-01_06-00-01_to_07-00-01.mp4,3549160008,yes
CH01,CH01_2026-07-01_07-00-01_to_08-00-00.mp4,3580587375,yes
CH01,CH01_2026-07-01_08-00-00_to_09-00-00.mp4,3521574883,yes
CH01,CH01_2026-07-01_09-00-00_to_10-00-00.mp4,3453493063,yes
CH01,CH01_2026-07-01_10-00-00_to_10-06-43.mp4,58982428,yes
CH01,CH01_2026-07-01_10-06-43_to_10-35-59.mp4,1331167955,yes
CH01,CH01_2026-07-01_10-35-59_to_11-02-57.mp4,1394869071,yes
CH01,CH01_2026-07-01_11-02-57_to_12-00-01.mp4,3710487658,yes
CH01,CH01_2026-07-01_12-00-01_to_13-00-01.mp4,3960903626,yes
CH01,CH01_2026-07-01_13-00-01_to_14-00-01.mp4,3823469409,yes
CH01,CH01_2026-07-01_14-00-01_to_15-00-00.mp4,3783197661,yes
CH01,CH01_2026-07-01_15-00-00_to_16-00-00.mp4,3741834265,yes
CH01,CH01_2026-07-01_16-00-00_to_17-00-01.mp4,3741116356,yes
CH01,CH01_2026-07-01_17-00-01_to_18-00-01.mp4,4206292279,yes
CH01,CH01_2026-07-01_18-00-01_to_19-00-01.mp4,3601840677,yes
CH01,CH01_2026-07-01_19-00-01_to_20-00-00.mp4,4116508147,yes
CH01,CH01_2026-07-01_20-00-00_to_21-00-00.mp4,3842420591,yes
CH01,CH01_2026-07-01_21-00-00_to_22-00-00.mp4,4627728841,yes
CH01,CH01_2026-07-01_22-00-00_to_23-00-01.mp4,4404607580,yes
CH01,CH01_2026-07-01_23-00-01_to_00-00-01.mp4,4400524561,yes
CH01,CH01_2026-07-02_00-00-01_to_01-00-00.mp4,4566378844,yes
CH01,CH01_2026-07-02_01-00-00_to_02-00-00.mp4,4671275225,yes
CH01,CH01_2026-07-02_02-00-00_to_03-00-00.mp4,4645854181,yes
CH01,CH01_2026-07-02_03-00-00_to_04-00-01.mp4,4678686654,yes
CH01,CH01_2026-07-02_04-00-01_to_05-00-01.mp4,4640361309,yes
CH01,CH01_2026-07-02_05-00-01_to_06-00-00.mp4,4085177277,yes
CH01,CH01_2026-07-02_06-00-00_to_07-00-00.mp4,3652083507,yes
CH01,CH01_2026-07-02_07-00-00_to_08-00-02.mp4,3655965834,yes
CH01,CH01_2026-07-02_08-00-02_to_08-21-09.mp4,926679268,yes
CH01,CH01_2026-07-02_08-21-09_to_08-28-15.mp4,114032668,yes
CH01,CH01_2026-07-02_08-28-15_to_08-35-57.mp4,11272220,yes
CH01,CH01_2026-07-02_08-35-57_to_08-41-47.mp4,14417948,yes
CH01,CH01_2026-07-02_08-41-47_to_08-47-07.mp4,9699356,yes
CH01,CH01_2026-07-02_08-47-07_to_08-56-32.mp4,227016732,yes
CH01,CH01_2026-07-02_08-56-32_to_09-03-23.mp4,13631516,yes
CH01,CH01_2026-07-02_09-03-23_to_09-12-51.mp4,254804563,yes
CH01,CH01_2026-07-02_09-12-51_to_09-19-57.mp4,89391706,yes
CH01,CH01_2026-07-02_09-19-57_to_09-26-32.mp4,82051100,yes
CH01,CH01_2026-07-02_09-26-32_to_10-00-00.mp4,1915425114,yes
CH01,CH01_2026-07-02_10-00-00_to_10-08-36.mp4,195821816,yes
CH01,CH01_2026-07-02_10-08-36_to_10-15-15.mp4,89128988,yes
CH01,CH01_2026-07-02_10-15-15_to_10-41-27.mp4,1345585382,yes
CH01,CH01_2026-07-02_10-41-27_to_11-00-01.mp4,1141434695,yes
CH01,CH01_2026-07-02_11-00-01_to_11-06-28.mp4,67371036,yes
CH01,CH01_2026-07-02_11-06-28_to_11-54-16.mp4,2760378477,yes
CH01,CH01_2026-07-02_11-54-16_to_12-00-01.mp4,376374879,yes
CH01,CH01_2026-07-02_12-00-01_to_13-00-00.mp4,4429738862,yes
CH01,CH01_2026-07-02_13-00-00_to_14-00-01.mp4,4470515279,yes
CH01,CH01_2026-07-02_14-00-01_to_15-00-01.mp4,4382685045,yes
CH01,CH01_2026-07-02_15-00-01_to_15-58-05.mp4,3666871941,yes
CH01,CH01_2026-07-02_15-58-05_to_16-00-00.mp4,142886410,yes
CH01,CH01_2026-07-02_16-00-00_to_17-00-00.mp4,4289364126,yes
CH01,CH01_2026-07-02_17-00-00_to_18-00-01.mp4,4583640361,yes
CH01,CH01_2026-07-02_18-00-01_to_19-00-01.mp4,4519679175,yes
CH01,CH01_2026-07-02_19-00-01_to_20-00-00.mp4,4665925140,yes
CH01,CH01_2026-07-02_20-00-00_to_21-00-01.mp4,4082134829,yes
CH01,CH01_2026-07-02_21-00-01_to_22-00-01.mp4,4541733623,yes
CH01,CH01_2026-07-02_22-00-01_to_23-00-02.mp4,4369031438,yes
